XYZ_x, XYZ_y, XYZ_z, GPS_x, GPS_y, GPS_z, GPS_u, GPS_v, GPS_w, GPS_phi, GPS_theta, GPS_psi, ADS_vel, ADS_alpha, ADS_beta, IMU_Ax, IMU_Ay, IMU_Az, IMU_p, IMU_q, IMU_r
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 4.96053587261124e-13, 0.0, 0.0, 0.0009641897187308527, 0.0, 120.0, 0.0009641897187308527, 7.214806970029678e-17, 0.540210438138273, -2.96225301500947e-14, -9.76867633209498, 0.0, 0.0, 0.0
1.219999442202955, -0.07999999999999503, 0.00933330501679704, 1.219999442202955, -0.07999999999999503, 0.00933330501679704, 120.0, 4.95757250482503e-13, 2.66453525910038e-15, -1.3133151710631827e-21, 0.0009641897187308527, -4.224281158050177e-21, 120.0, 0.0009641897187308527, 7.21091210282205e-17, 0.540210438138273, -2.96506291162914e-14, -9.76867633209498, -1.2366847274423e-17, -3.06683207273451e-17, -4.8291275411351e-17
2.43999888440591, -0.1599999999999901, 0.018666610033594107, 2.43999888440591, -0.1599999999999901, 0.018666610033594107, 120.0, 4.95460436576826e-13, 5.32907051820075e-15, -5.251405157201996e-21, 0.0009641897187308527, -1.6861092631164634e-20, 120.0, 0.0009641897187308545, 7.20783705618224e-17, 0.540210438138273, -2.97142919933472e-14, -9.76867633209498, -2.4793663796667e-17, -6.27785856195631e-17, -9.62146026526986e-17
3.6599983266088647, -0.23999999999998511, 0.0279999150503912, 3.6599983266088647, -0.23999999999998511, 0.0279999150503912, 120.0, 4.95162796319435e-13, 7.99360577730113e-15, -1.1839385360893437e-20, 0.0009641897187308527, -3.782661195176218e-20, 120.0, 0.0009641897187308545, 7.205568229919805e-17, 0.540210438138274, -2.98093451926324e-14, -9.76867633209499, -3.74955137849875e-17, -9.61846560515068e-17, -1.43551625078027e-16
4.87999776881182, -0.3199999999999802, 0.03733322006718832, 4.87999776881182, -0.3199999999999802, 0.03733322006718832, 120.0, 4.94864020279076e-13, 1.06581410364015e-14, -2.113497884990212e-20, 0.0009641897187308527, -6.70013023914864e-20, 120.0, 0.0009641897187308545, 7.20408885114356e-17, 0.540210438138274, -2.99319528483329e-14, -9.76867633209499, -5.06541466421521e-17, -1.3038383037617e-16, -1.90111666134548e-16
6.099997211014775, -0.39999999999997526, 0.046666525083985465, 6.099997211014775, -0.39999999999997526, 0.046666525083985465, 120.0, 4.94563835387612e-13, 1.24344978758018e-14, -3.322324316733561e-20, 0.0009641897187308527, -1.0423454537038613e-19, 120.0, 0.0009641897187308545, 7.203379416727546e-17, 0.540210438138274, -3.00785941578978e-14, -9.76867633209499, -6.44212262517776e-17, -1.65448079439757e-16, -2.35729399301072e-16
7.319996653217729, -0.47999999999997023, 0.055999830100782626, 7.319996653217729, -0.47999999999997023, 0.055999830100782626, 120.0, 4.94262001757663e-13, 1.33226762955019e-14, -4.8211817054669406e-20, 0.0009641897187308527, -1.4934887975846526e-19, 120.0, 0.0009641897187308545, 7.203418097201182e-17, 0.540210438138274, -3.02460420500272e-14, -9.76867633209499, -7.89213110184421e-17, -2.00834892140472e-16, -2.80262678691047e-16
8.539996095420685, -0.5599999999999654, 0.06533313511757981, 8.539996095420685, -0.5599999999999654, 0.06533313511757981, 120.0, 4.93958309732475e-13, 1.50990331349021e-14, -6.622664654704701e-20, 0.0009641897187308527, -2.021438753043091e-19, 120.0, 0.0009641897187308545, 7.204181104783008e-17, 0.540210438138275, -3.04313431113675e-14, -9.76867633209499, -9.42546012028355e-17, -2.37038569965135e-16, -3.23590520688798e-16
9.75999553762364, -0.6399999999999604, 0.07466644013437698, 9.75999553762364, -0.6399999999999604, 0.07466644013437698, 120.0, 4.93652577153164e-13, 1.68753899743024e-14, -8.740815261257451e-20, 0.0009641897187308527, -2.6239966578693644e-19, 120.0, 0.0009641897187308561, 7.205643028110237e-17, 0.540210438138275, -3.06317987062059e-14, -9.76867633209499, -1.10499469128102e-16, -2.73625414926926e-16, -3.65611227498469e-16
10.979994979826595, -0.7199999999999553, 0.08399974515117418, 10.979994979826595, -0.7199999999999553, 0.08399974515117418, 120.0, 4.93344646829354e-13, 1.86517468137026e-14, -1.1190780505887552e-19, 0.0009641897187308527, -3.298801659356672e-19, 120.0, 0.0009641897187308561, 7.207777136060214e-17, 0.540210438138275, -3.08449472264584e-14, -9.76867633209499, -1.27714786909857e-16, -3.10456655737129e-16, -4.06240643972354e-16
12.19999442202955, -0.7999999999999505, 0.09333305016797142, 12.19999442202955, -0.7999999999999505, 0.09333305016797142, 120.0, 4.93034384200043e-13, 2.04281036531029e-14, -1.3988506982943289e-19, 0.0009641897187308527, -4.043359946946467e-19, 120.0, 0.0009641897187308561, 7.210555652911228e-17, 0.540210438138275, -3.10685474121385e-14, -9.768676332095, -1.45942065487725e-16, -3.47960498050713e-16, -4.45410539549541e-16
13.419993864232504, -0.8799999999999455, 0.10266635518476865, 13.419993864232504, -0.8799999999999455, 0.10266635518476865, 120.0, 4.92721675172251e-13, 2.30926389122033e-14, -1.7150469906731596e-19, 0.0009641897187308527, -4.855071260196109e-19, 120.0, 0.0009641897187308561, 7.21395000694988e-17, 0.540210438138275, -3.13005626852712e-14, -9.768676332095, -1.6520741790831e-16, -3.85895071165101e-16, -4.8306710757807e-16
