XYZ_x, XYZ_y, XYZ_z, GPS_x, GPS_y, GPS_z, GPS_u, GPS_v, GPS_w, GPS_phi, GPS_theta, GPS_psi, ADS_vel, ADS_alpha, ADS_beta, IMU_Ax, IMU_Ay, IMU_Az, IMU_p, IMU_q, IMU_r, CTRL_da, CTRL_de, CTRL_dr, CTRL_Tc1, CTRL_Tc2, time, Vtas, alpha, beta
4404.477219242528, -1.8171860313754912e-10, 25.554323171410356, 4404.477219242528, -1.8171860313754912e-10, 25.554323171410356, 121.35440793819, -1.54861277301423e-11, 1.11691439254872, -8.21744292251812e-14, 0.0459548188264511, -1.35919044790369e-13, 121.359547724062, 0.0551582987463405, 3.77763330264836e-15, 0.525302083737215, -3.55024565926881e-14, -10.0234904119616, -2.11145979708064e-15, 0.00209275859235846, -7.0196273277566e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.83, 121.359547724062, 0.0551582987463405, 3.77763330264836e-15
4405.690763321911, -1.8187346441485062e-10, 25.56549231533585, 4405.690763321911, -1.8187346441485062e-10, 25.56549231533585, 121.355049645583, -1.54948080150523e-11, 1.11438018183981, -8.21988520806999e-14, 0.0459757513308109, -1.3599104701528e-13, 121.36016610763, 0.0551583017371696, 3.77743717107258e-15, 0.52529538739603, -3.55018306736818e-14, -10.0236122571822, -2.11142379125642e-15, 0.00209374174507903, -7.02153324263193e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.84, 121.36016610763, 0.0551583017371696, 3.77743717107258e-15
4406.904313818366, -1.8202841249500112e-10, 25.576636117154244, 4406.904313818366, -1.8202841249500112e-10, 25.576636117154244, 121.355689128775, -1.55034905855011e-11, 1.11184474595399, -8.22232770224381e-14, 0.0459966936506609, -1.36063069709651e-13, 121.360782309026, 0.0551583048297872, 3.77724095746932e-15, 0.525288715393649, -3.55012027289443e-14, -10.0237337047053, -2.11138765520231e-15, 0.00209472169028385, -7.02343939566657e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.85, 121.360782309026, 0.0551583048297872, 3.77724095746932e-15
4408.117870709653, -1.8218344740085608e-10, 25.587754564613782, 4408.117870709653, -1.8218344740085608e-10, 25.587754564613782, 121.356326387156, -1.55121754410198e-11, 1.10930808889551, -8.22477040506708e-14, 0.0460176457539223, -1.36135112873854e-13, 121.361396327753, 0.0551583080241626, 3.77704466183019e-15, 0.525282067736044, -3.55005727582666e-14, -10.0238547544169, -2.11135138895813e-15, 0.00209569842721034, -7.02534578703277e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.86, 121.361396327753, 0.0551583080241626, 3.77704466183019e-15
4409.331433973524, -1.8233856915526626e-10, 25.598847645502733, 4409.331433973524, -1.8233856915526626e-10, 25.598847645502733, 121.356961420122, -1.55208625811393e-11, 1.10677021466984, -8.22721331656715e-14, 0.0460386076085084, -1.36207176508258e-13, 121.362008163318, 0.0551583113202651, 3.77684828414694e-15, 0.525275444429148, -3.54999407614432e-14, -10.0239754062035, -2.1113149925639e-15, 0.00209667195510048, -7.0272524169026e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.87, 121.362008163318, 0.0551583113202651, 3.77684828414694e-15
4410.545003587727, -1.8249377778107774e-10, 25.609915347649437, 4410.545003587727, -1.8249377778107774e-10, 25.609915347649437, 121.357594227072, -1.55295520053904e-11, 1.1042311272836, -8.22965643677127e-14, 0.046059579182325, -1.36279260613234e-13, 121.362617815228, 0.0551583147180635, 3.77665182441143e-15, 0.525268845478856, -3.54993067382718e-14, -10.0240956599523, -2.11127846605986e-15, 0.00209764227320092, -7.02915928544796e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.88, 121.362617815228, 0.0551583147180635, 3.77665182441143e-15
4411.758579529997, -1.826490733011316e-10, 25.620957658922272, 4411.758579529997, -1.826490733011316e-10, 25.620957658922272, 121.358224807407, -1.55382437133039e-11, 1.10169083074461, -8.23209976570653e-14, 0.0460805604432706, -1.36351365189149e-13, 121.363225282998, 0.055158318217527, 3.7764552826156e-15, 0.525262270891024, -3.54986706885533e-14, -10.0242155155511, -2.11124180948647e-15, 0.00209860938076285, -7.03106639284057e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.89, 121.363225282998, 0.055158318217527, 3.7764552826156e-15
4412.9721617780715, -1.8280445573826461e-10, 25.631974567229715, 4412.9721617780715, -1.8280445573826461e-10, 25.631974567229715, 121.358853160534, -1.55469377044102e-11, 1.09914932906188, -8.2345433033999e-14, 0.046101551359236, -1.36423490236369e-13, 121.363830566143, 0.0551583218186243, 3.77625865875154e-15, 0.525255720671471, -3.54980326120921e-14, -10.0243349728885, -2.11120502288441e-15, 0.00209957327704212, -7.03297373925197e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.9, 121.363830566143, 0.0551583218186243, 3.77625865875154e-15
4414.185750309676, -1.8295992511530868e-10, 25.642966060520333, 4414.185750309676, -1.8295992511530868e-10, 25.642966060520333, 121.35947928586, -1.55556339782397e-11, 1.09660662624555, -8.2369870498782e-14, 0.0461225518981047, -1.3649563575526e-13, 121.364433664183, 0.0551583255213244, 3.77606195281141e-15, 0.525249194825976, -3.54973925086951e-14, -10.0244540318533, -2.11116810629459e-15, 0.00210053396129914, -7.03488132485353e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.91, 121.364433664183, 0.0551583255213244, 3.77606195281141e-15
4415.399345102535, -1.8311548145509115e-10, 25.653932126782795, 4415.399345102535, -1.8311548145509115e-10, 25.653932126782795, 121.3601031828, -1.55643325343228e-11, 1.09406272630696, -8.23943100516813e-14, 0.0461435620277528, -1.36567801746187e-13, 121.36503457664, 0.0551583293255958, 3.77586516478751e-15, 0.52524269336028, -3.54967503781733e-14, -10.0245726923355, -2.11113105975811e-15, 0.00210149143279896, -7.03678914981643e-15, -8.91980844244292e-16, -0.0275104099828779, 7.54351586590138e-15, 0.694974030310678, 0.694974030310678, 36.92, 121.36503457664, 0.0551583293255958, 3.77586516478751e-15
