x_kf, y_kf, z_kf, u_kf, v_kf, w_kf, phi_kf, theta_kf, psi_kf, Wx_kf, Wy_kf, Wz_kf, Lx_kf, Ly_kf, Lz_kf, Lp_kf, Lq_kf, Lr_kf, da, de, dr, Tc1, Tc2, V, alpha, beta
4295.371941965905,-205.54751559396084,39.33319310624262,119.97195622384288,0.40525360989879455,6.582200122448099,0.0009408248313950663,0.061278115144804475,0.02759545032260912,2.0148218098505923,-8.575661448843892,1.0503546105805863,0.019276803190689088,0.011007661993125107,0.04322058742726648,8.134572584717126e-05,5.532651415416036e-05,0.00014655378774702766,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.18660129590631,0.054442958975222104,0.002510435886298052
4296.592731568531,-205.59530310930185,39.336633710193674,119.97104272079079,0.4049106531652153,6.582187939492605,0.0009411896380026289,0.06128101428094672,0.02759842044100605,2.014786939123158,-8.575590946371095,1.0503410237923465,0.01927781679429599,0.011004875672482282,0.043224343860046144,8.13382810496125e-05,5.529195532714387e-05,0.0001464797958309355,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.2588683720181,0.05583805320962013,0.0013740810041759522
4297.812569670135,-205.6436948167726,39.33962702385456,119.97049594358012,0.40474598653853294,6.582418900727404,0.0009414327192088502,0.06128369163945638,0.02760043497904692,2.014791437408021,-8.575528994985309,1.0503559727081468,0.01927389843516428,0.011004710074550072,0.04321857632734215,8.132797324641922e-05,5.528950516135697e-05,0.0001464026542883057,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.14021919737692,0.054730457203109276,0.0007131556992237365
4299.032191767592,-205.69180881442784,39.34348942035654,119.9699907684014,0.40477310036819036,6.582392214883958,0.0009404391375370186,0.06128527269198077,0.02760270910517583,2.014815657185616,-8.575495841188554,1.0503498016989112,0.0192748939405651,0.010998573045957957,0.04321209561767423,8.137027321836158e-05,5.532551723690743e-05,0.00014634629412229867,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.06874916791105,0.05455585725893744,0.0020015284475314804
4300.2526088969535,-205.73880769734203,39.34691501850628,119.96917626781403,0.40425108931288695,6.582623835508251,0.000941558491603355,0.06128971273081768,0.02760561455872525,2.014836818446282,-8.575437736880515,1.0502797267926425,0.019279103148717416,0.010998559522032067,0.04321144519242758,8.13333391350081e-05,5.5283317292363945e-05,0.0001462456331300085,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.06467573681564,0.057847744098142966,0.00023346052224127277
4301.472825756629,-205.78557855206554,39.34905089478428,119.9689271538448,0.40410626728136806,6.582695894437626,0.0009435445766842476,0.06129044322811384,0.02760791303156974,2.0148280034928505,-8.57533523555164,1.0502550361145078,0.01926868782808419,0.01100823597434191,0.04319784939124798,8.126746865202784e-05,5.5339515292987736e-05,0.00014615567773819423,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.21486492465245,0.055711764319574364,-0.00109136327404674
4302.693949662456,-205.83327391316635,39.35123650030566,119.96864337525462,0.4036939828555217,6.582471122012115,0.000942998012776092,0.061292283139079536,0.027612661151098648,2.01480154059464,-8.575341721267252,1.0502772613958105,0.01925704538215928,0.011011440113572591,0.04320027852933403,8.127064848104798e-05,5.533899754724804e-05,0.00014603685279690045,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.27794616757845,0.054743991948463605,-0.001841091803711798
4303.914599222378,-205.8812393169737,39.35391728780272,119.96801169120228,0.4030472202412176,6.582456650200398,0.0009409576830917871,0.06129484864909096,0.027615456364693435,2.0147766105954217,-8.575300418282344,1.0503520234414967,0.01926216152291679,0.011010769090362863,0.04319850838388569,8.134891848530253e-05,5.537140374739023e-05,0.00014594540390028336,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.21671640897807,0.05139341205195824,-0.001160526342421807
4305.136447146091,-205.9287369435577,39.35677536147192,119.96712109257699,0.40273199033687274,6.582591289239215,0.0009417769657802613,0.06129672145580018,0.02761911915819537,2.0147947001909916,-8.575275285205786,1.0504225560462381,0.01926628988047963,0.011008620786831807,0.043186877274532326,8.128210153557781e-05,5.542568567003424e-05,0.00014585765211299096,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.08343346831286,0.051390506437180024,0.001679802604732459
4306.357498530424,-205.9762638090438,39.358724673666416,119.96613188685994,0.40225319566243317,6.582346719702823,0.0009426012919950053,0.06129739356443894,0.027621741826383495,2.014818750502848,-8.575220386214387,1.0504686459262318,0.019272896028866768,0.011011446224931522,0.04318558558905899,8.128773067690865e-05,5.5522321673318565e-05,0.00014575516284675427,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.05777555396679,0.05104091526004117,-0.001178228625552595
4307.578822069923,-206.02485848388085,39.362701335060414,119.9654800753489,0.40234340630386684,6.582081596380351,0.0009438584790142162,0.06129792565055095,0.027623422834226016,2.0147765814249214,-8.57517499288464,1.0504501631940655,0.0192707840469934,0.011003356376721087,0.043185556599741715,8.125660620939229e-05,5.5592779443661794e-05,0.00014568947859150546,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.30972325610509,0.05450485665120205,0.0032633576558393274
4308.799270060858,-206.0724374344748,39.36472050999814,119.96494091570186,0.4021823333313317,6.581658363883103,0.0009466931610130637,0.061299896073522785,0.027626611050222967,2.0147530938421863,-8.575131516175606,1.05046214235951,0.019267851631743747,0.011003690634155223,0.04318845331664691,8.118998749402517e-05,5.557199343273338e-05,0.0001456115273438382,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.22697195388514,0.05485788774823674,0.0014521120310797171
